date,baba,mengniu,cnooc,jd,bidu,tencent,weibo,sinopec,meituan,cgn,sf,cmport
2019/01/01,163.814,,138.074,267.724,176.924,151.888,,138.963,,,147.855,195.302
2019/01/02,162.189,,140.079,268.584,179.954,152.31,,137.84,,,146.489,198.12
2019/01/03,163.691,,148.497,270.706,181.239,156.483,,141.07,,,153.384,201.947
2019/01/04,161.259,,146.572,259.206,182.485,154.332,,140.774,,,154.676,197.679
2019/01/07,153.787,,143.066,263.839,180.973,150.295,,139.92,,,154.855,197.486
2019/01/08,151.793,,136.547,260.637,178.028,146.512,,134.073,,,154.212,196.925
2019/01/09,144.744,,132.651,258.446,170.201,142.772,,132.453,,,154.233,190.82
2019/01/10,150.988,,132.555,258.705,175.269,142.044,,132.236,,,149.489,192.061
2019/01/11,148.352,,132.221,258.499,175.112,140.198,,130.549,,,154.955,192.224
2019/01/14,147.628,,132.047,256.936,175.016,140.45,,130.76,,,154.722,192.028
2019/01/15,146.971,,129.629,256.604,174.515,139.16,,125.829,,,154.465,191.348
2019/01/16,140.418,,126.422,254.413,166.443,136.042,,125.757,,,154.37,187.135
2019/01/17,137.449,,126.324,250.99,167.914,135.823,,125.406,,,154.215,186.843
2019/01/18,136.81,,126.098,247.573,165.154,131.213,,122.678,,,154.132,183.663
2019/01/21,136.81,,126.098,247.573,165.154,131.213,,122.678,,,154.132,183.663
2019/01/22,136.326,,126.285,245.321,165.328,130.991,,122.65,,,153.279,184.011
2019/01/23,136.16,,126.124,245.395,165.387,131.5,,120.095,,,153.25,183.707
2019/01/24,134.034,,123.939,237.564,165.341,128.423,,119.674,,,153.228,183.588
2019/01/25,129.238,,123.609,232.624,159.245,125.658,,119.796,,,152.9,178.323
2019/01/28,127.686,,123.447,229.94,159.528,125.298,,115.762,,,152.992,178.499
2019/01/29,127.933,,123.95,219.597,159.941,126.263,,120.971,,,153.358,178.754
2019/01/30,127.674,,123.718,229.033,159.824,123.901,,118.394,,,151.26,178.625
2019/01/31,125.75,,121.036,224.093,155.855,109.653,,112.227,,,148.691,178.705
2019/02/01,125.757,,120.83,223.443,155.495,109.028,,108.906,,,148.557,178.782
2019/02/04,123.866,,120.621,223.142,155.503,108.483,,107.572,,,149.201,177.108
2019/02/05,121.834,,120.725,223.388,155.512,109.479,,109.662,,,149.312,177.143
2019/02/06,122.081,,118.949,223.557,155.619,109.134,,111.735,,,149.407,177.128
2019/02/07,124.676,,120.572,224.413,155.385,110.839,,109.512,,,149.414,177.134
2019/02/08,124.984,,120.812,224.406,155.808,111.046,,111.757,,,149.825,177.554
2019/02/11,125.057,,120.614,222.97,157.537,108.756,,111.303,,,149.679,177.318
2019/02/12,121.689,,120.768,220.291,155.61,109.251,,111.324,,,149.797,177.009
2019/02/13,124.347,,120.791,219.326,153.877,108.948,,111.207,,,148.452,176.912
2019/02/14,124.738,,120.941,218.813,153.851,107.238,,111.888,,,149.36,176.042
2019/02/15,121.745,,121.07,217.602,153.982,109.343,,107.623,,,144.162,175.928
2019/02/18,121.745,,121.07,217.602,153.982,109.343,,107.623,,,144.162,175.928
2019/02/19,123.171,,120.706,208.491,153.88,106.713,,110.783,,,143.841,174.645
2019/02/20,126.902,,120.965,212.806,154.151,106.191,,110.649,,,143.609,174.814
2019/02/21,127.115,,120.754,210.926,155.743,105.684,,108.528,,,143.541,174.517
2019/02/22,126.515,,120.89,211.089,155.883,107.944,,112.458,,,144.126,174.797
2019/02/25,126.072,,120.575,209.471,155.65,107.458,,112.276,,,146.308,176.031
2019/02/26,125.533,,123.014,209.526,155.061,107.568,,112.611,,,146.162,176.144
2019/02/27,128.82,,123.322,209.69,157.942,106.901,,112.196,,,145.957,169.799
2019/02/28,124.348,,122.893,206.029,157.324,107.506,,112.553,,,144.724,174.379
2019/03/01,123.528,,122.869,196.827,155.352,104.514,,112.164,,,145.156,174.192
2019/03/04,122.764,,120.185,195.673,155.505,104.77,,112.424,,,134.244,174.024
2019/03/05,122.243,,120.242,195.222,152.751,104.988,,108.188,,,144.698,172.257
2019/03/06,119.423,,116.219,193.2,148.631,102.011,,107.761,,,142.514,172.39
2019/03/07,120.328,,116.391,192.863,148.57,102.421,,108.464,,,142.655,170.516
2019/03/08,122.172,,119.949,194.581,150.692,102.371,,108.337,,,142.723,170.701
2019/03/11,120.015,,119.79,194.494,150.395,102.267,,108.415,,,140.157,170.557
2019/03/12,120.037,,117.351,192.523,150.728,102.292,,108.521,,,140.372,170.966
2019/03/13,120.046,,116.817,186.603,149.961,102.077,,108.375,,,140.342,170.393
2019/03/14,119.556,,116.046,189.211,149.649,101.766,,108.074,,,140.355,168.424
2019/03/15,120.483,,116.75,189.558,148.496,102.175,,107.988,,,140.537,169.075
2019/03/18,119.88,,116.601,189.533,148.187,102.322,,108.17,,,140.522,168.946
2019/03/19,121.5,,116.195,189.531,148.151,102.388,,107.761,,,136.436,168.906
2019/03/20,121.891,,117.847,186.258,151.694,103.814,,106.765,,,128.686,169.223
2019/03/21,120.529,,116.893,188.805,151.819,102.77,,106.699,,,136.008,169.672
2019/03/22,122.158,,114.629,188.357,152.875,103.674,,106.9,,,136.363,170.637
2019/03/25,125.072,,118.93,192.358,155.433,107.339,,109.788,,,140.409,174.136
2019/03/26,126.229,,118.014,192.059,155.793,107.316,,109.8,,,139.819,174.268
2019/03/27,124.713,,116.123,190.843,152.418,106.341,,109.573,,,140,172.358
2019/03/28,125.042,,115.143,188.79,155.17,108.085,,109.293,,,139.685,170.651
2019/03/29,122.716,,113.706,187.504,153.096,108.536,,105.435,,,139.358,169.337
2019/04/01,117.489,,108.295,181.849,149.726,106.021,,104.323,,,138.334,164.992
2019/04/02,120.752,,109.916,182.084,150.449,106.142,,104.448,,,138.768,168.03
2019/04/03,120.158,,109.356,175.635,149.39,106.497,,102.332,,,136.024,167.46
2019/04/04,120.698,,111.923,183.831,151.234,106.911,,104.817,,,135.489,161.199
