date,cnooc,sinope,tencent,sf
2018/12/14,144.305,,,
2018/12/17,144.535,,,
2018/12/18,145.712,,,
2018/12/19,145.913,,,
2018/12/20,143.346,,,
2018/12/21,144.408,,,
2018/12/24,148.057,,,
2018/12/26,148.411,,,
2018/12/27,149.629,,,
2018/12/28,147.405,,,
2018/12/31,146.393,,,
2019/01/02,145.033,,,
2019/01/03,146.6,,,
2019/01/04,145.811,,,
2019/01/07,144.511,,,
2019/01/08,144.273,,,
2019/01/09,142.828,,,
2019/01/10,143.642,,,
2019/01/11,146.311,,,
2019/01/14,146.128,,,
2019/01/15,146.28,,,
2019/01/16,146.663,,,
2019/01/17,145.208,,,
2019/01/18,145.185,,,
2019/01/22,146.392,,,
2019/01/23,146.54,,,
2019/01/24,146.186,,,
2019/01/25,145.135,,,
2019/01/28,147.525,,,
2019/01/29,146.729,,,
2019/01/30,145.895,,,
2019/01/31,145.875,,,
2019/02/01,145.479,,,
2019/02/04,145.415,,,
2019/02/05,145.645,,,
2019/02/06,145.664,,,
2019/02/07,146.401,,,
2019/02/08,145.898,,,
2019/02/11,145.345,,,
2019/02/12,145.743,,,
2019/02/13,144.885,,,
2019/02/14,143.912,,,
2019/02/15,143.429,,,
2019/02/19,144.79,,,
2019/02/20,144.829,,,
2019/02/21,146.229,,,
2019/02/22,145.378,,,
2019/02/25,144.177,,,
2019/02/26,145.381,,,
2019/02/27,145.694,,,
2019/02/28,144.792,,,
2019/03/01,145.195,,,
2019/03/04,144.174,,,
2019/03/05,143.384,,,
2019/03/06,143.261,,,
2019/03/07,142.791,,,
2019/03/08,142.794,,,
2019/03/11,142.277,,,
2019/03/12,142.787,,,
2019/03/13,141.483,,,
2019/03/14,141.464,,,
2019/03/15,142.011,,,
2019/03/18,141.677,,,
2019/03/19,142.699,,,
2019/03/20,142.422,,,
2019/03/21,143.682,,,
2019/03/22,144.832,,,
2019/03/25,147.148,,,
2019/03/26,145.549,,,
2019/03/27,144.347,,,
2019/03/28,141.956,,,
2019/03/29,141.246,,,
2019/04/01,141.906,,,
2019/04/02,141.059,,,
2019/04/03,141.757,,,
2019/04/04,141.079,,,
2019/04/05,141.65,,,
2019/04/08,141.813,,,
2019/04/09,142.273,,,
2019/04/10,144.1,,,
2019/04/11,142.658,,,
2019/04/12,143.449,,,
2019/04/15,142.607,,,
2019/04/16,143.244,,,
2019/04/17,142.747,,,
2019/04/18,142.008,,,
2019/04/22,142.561,,,
2019/04/23,141.961,,,
2019/04/24,141.777,,,
2019/04/25,141.096,,,
2019/04/26,142.026,,,
2019/04/29,142.272,,,
2019/04/30,142.225,,,
2019/05/01,141.383,,,
2019/05/02,141.383,,,
2019/05/03,142.428,,,
2019/05/06,142.18,,,
2019/05/07,142.095,,,
2019/05/08,142.487,,,
2019/05/09,145.066,,,
2019/05/10,144.596,,,
2019/05/13,144.83,,,
2019/05/14,144.353,,,
2019/05/15,144.795,,,
2019/05/16,144.582,,,
2019/05/17,145.116,,,
2019/05/20,145.648,,,
2019/05/21,145.595,,,
2019/05/22,146.356,,,
2019/05/23,146.41,,,
2019/05/24,147.183,,,
2019/05/28,146.505,,,
2019/05/29,146.643,,,
2019/05/30,147.287,,,
2019/05/31,146.896,,,
2019/06/03,149.19,,,
2019/06/04,147.008,,,
2019/06/05,145.609,,,
2019/06/06,145.388,,,
2019/06/07,144.766,,,
2019/06/10,144.999,,,
2019/06/11,145.601,,,
2019/06/12,145.196,,,
2019/06/13,147.621,,,
2019/06/14,148.914,,,
2019/06/17,147.887,,,
2019/06/18,147.248,,,
2019/06/19,147.945,,,
2019/06/20,145.978,,,
2019/06/21,146.465,,,
2019/06/24,148.469,,,
2019/06/25,149.051,,,
2019/06/26,147.935,,,
2019/06/27,147.255,,,
2019/06/28,145.204,,,
2019/07/01,144.384,,,
2019/07/02,144.186,,,
2019/07/03,145.217,,,
2019/07/05,142.186,,,
2019/07/08,143.554,,,
2019/07/09,143.014,,,
2019/07/10,142.51,,,
2019/07/11,141.859,,,
2019/07/12,143.11,,,
2019/07/15,144.436,,,
2019/07/16,142.373,,,
2019/07/17,144.147,,,
2019/07/18,145.095,,,
2019/07/19,145.613,,,
2019/07/22,146.068,,,
2019/07/23,145.413,,,
2019/07/24,146.506,,,
2019/07/25,146.966,,,
2019/07/26,145.971,,,
2019/07/29,146.488,,,
2019/07/30,147.382,,,
2019/07/31,145.152,,,
2019/08/01,145.998,,,
2019/08/02,146.283,,,
2019/08/05,154.154,,,
2019/08/06,153.059,,,
2019/08/07,154.013,,,
2019/08/08,152.99,,,
2019/08/09,152.405,,,
2019/08/12,152.591,,,
2019/08/13,151.265,,,
2019/08/14,153.767,,,
2019/08/15,154.724,,,
2019/08/16,154.033,,,
2019/08/19,153.498,,,
2019/08/20,152.895,,,
2019/08/21,151.635,,,
2019/08/22,149.411,,,
2019/08/23,149.984,,,
2019/08/26,148.441,,,
2019/08/27,151.895,,,
2019/08/28,153.533,,,
2019/08/29,154.022,,,
2019/08/30,155.757,,,
2019/09/03,156.755,,,
2019/09/04,155.228,,,
2019/09/05,153.984,,,
2019/09/06,155.608,,,
2019/09/09,154.352,,,
2019/09/10,155.206,,,
2019/09/11,155.055,,,
2019/09/12,152.939,,,
2019/09/13,152.41,,,
2019/09/16,152.171,,,
2019/09/17,152.149,,,
2019/09/18,152.957,,,
2019/09/19,154.225,,,
2019/09/20,152.11,,,
2019/09/23,151.033,,,
2019/09/24,152.009,,,
2019/09/25,153.507,,,
2019/09/26,152.151,,,
2019/09/27,151.253,,,
2019/09/30,150.804,,,
2019/10/01,150.292,,,
2019/10/02,151.259,,,
2019/10/03,151.871,,,
2019/10/04,150.848,,,
2019/10/07,151.629,,,
2019/10/08,153.534,,,
2019/10/09,155.662,,,
2019/10/10,156.928,,,
2019/10/11,156.665,,,
2019/10/15,154.639,,,
2019/10/16,154.695,,,
2019/10/17,154.782,,,
2019/10/18,152.476,,,
2019/10/21,152.941,,,
2019/10/22,152.631,,,
2019/10/23,153.318,,,
2019/10/24,153.34,,,
2019/10/25,153.589,,,
2019/10/28,153.795,,,
2019/10/29,153.568,,,
2019/10/30,153.541,,,
2019/10/31,153.662,,,
2019/11/01,152.985,,,
2019/11/04,152.633,,,
2019/11/05,152.833,,,
2019/11/06,152.871,,,
2019/11/07,152.399,,,
2019/11/08,153.617,,,
2019/11/12,153.361,,,
2019/11/13,154.205,,,
2019/11/14,153.621,,,
2019/11/15,152.965,,,
2019/11/18,153.633,,,
2019/11/19,154.301,,,
2019/11/20,154.397,,,
2019/11/21,155.225,,,
2019/11/22,154.099,,,
2019/11/25,153.448,,,
2019/11/26,153.32,,,
2019/11/27,150.352,,,
2019/11/29,151.4,,,
2019/12/02,151.219,,,
2019/12/03,150.711,,,
2019/12/04,151.334,,,
2019/12/05,150.686,,,
2019/12/06,150.518,,,
2019/12/09,150.764,,,
2019/12/10,151.243,,,
2019/12/11,151.306,,,
2019/12/12,146.606,,,
2019/12/13,149.309,,,
2019/12/16,147.98,,,
2019/12/17,147.29,,,
2019/12/18,147.919,,,
2019/12/19,147.511,,,
2019/12/20,146.314,,,
2019/12/23,146.452,,,
2019/12/24,146.345,,,
2019/12/26,146.104,,,
2019/12/27,146.104,,,
2019/12/30,146.296,,,
2019/12/31,146.603,,,
2020/01/02,146.93,,,
2020/01/03,146.992,,,
2020/01/06,148.386,,,
2020/01/07,146.76,,,
2020/01/08,147.46,,,
2020/01/09,147.008,,,
2020/01/10,145.945,,,
2020/01/13,144.903,,,
2020/01/14,143.576,,,
2020/01/15,144.204,,,
2020/01/16,144.057,,,
2020/01/17,143.222,,,
2020/01/21,140.905,,,
2020/01/22,143.159,,,
2020/01/23,143.741,,,
2020/01/24,144.053,,,
2020/01/27,145.05,,,
2020/01/28,144.855,,,
2020/01/29,144.499,,,
2020/01/30,147.304,,,
2020/01/31,148.557,,,
2020/02/03,147.562,,,
2020/02/04,145.177,,,
2020/02/05,144.762,,,
2020/02/06,145.137,,,
2020/02/07,145.704,,,
2020/02/10,146.32,,,
2020/02/11,147.19,,,
2020/02/12,146.351,,,
2020/02/13,147.665,,,
2020/02/14,147.86,,,
2020/02/18,148.12,,,
2020/02/19,147.526,,,
2020/02/20,148.232,,,
2020/02/21,150.401,,,
2020/02/24,150.259,,,
2020/02/25,150.6,,,
2020/02/26,149.534,,,
2020/02/27,151.753,,,
2020/02/28,152.54,,,
2020/03/02,151.734,,,
2020/03/03,151.844,,,
2020/03/04,151.507,,,
2020/03/05,151.16,,,
2020/03/06,144.835,,,
2020/03/09,167.992,,,
2020/03/10,168.045,,,
2020/03/11,173.389,,,
2020/03/12,187.476,,,
2020/03/13,182.038,,,
2020/03/16,161.901,,,
2020/03/17,185.432,,,
2020/03/18,198.647,,,
2020/03/20,178.57,,,
2020/03/23,179.373,,,
2020/03/24,183.426,,,
2020/03/25,201.224,,,
2020/03/26,194.396,,,
2020/03/27,178.872,,,
2020/03/31,176.248,,,
2020/04/01,173.94,,,
2020/04/02,168.61,,,
2020/04/07,174.821,,,
2020/04/08,169.78,,,
2020/04/09,172.984,,,
2020/04/13,170.935,,,
2020/04/15,169.898,,,
2020/04/16,169.802,,,
2020/04/21,169.184,,,
2020/04/22,174.437,,,
2020/04/24,181.408,,,
2020/04/27,189.692,,,
2020/04/28,178.786,,,
2020/04/29,196.948,,,
2020/04/30,205.364,,,
2020/05/01,206.132,,,
2020/05/04,181.341,,,
2020/05/05,182.667,,,
2020/05/06,187.47,,,
2020/05/07,199.831,,,
2020/05/08,200.134,,,
2020/05/12,211.22,,,
