date,ccb
2019/02/22,175.718
2019/02/25,173.566
2019/02/26,173.977
2019/02/27,172.612
2019/02/28,169.019
2019/03/01,164.71
2019/03/04,162.741
2019/03/05,161.326
2019/03/06,160.353
2019/03/07,162.118
2019/03/08,162.98
2019/03/11,162.384
2019/03/12,161.787
2019/03/13,163.196
2019/03/14,162.81
2019/03/15,163.268
2019/03/18,162.501
2019/03/19,163.636
2019/03/20,165.872
2019/03/21,165.866
2019/03/22,165.465
2019/03/25,169.289
2019/03/26,170.298
2019/03/27,170.602
2019/03/28,169.749
2019/03/29,170.501
2019/04/01,168.099
2019/04/02,169.028
2019/04/03,169.398
2019/04/04,170.584
2019/04/05,169.004
2019/04/08,169.764
2019/04/09,170.487
2019/04/10,171.694
2019/04/11,172.264
2019/04/12,171.263
2019/04/15,170.144
2019/04/16,169.625
2019/04/17,166.305
2019/04/18,166.438
2019/04/22,166.171
2019/04/23,166.365
2019/04/24,165.204
2019/04/25,164.743
2019/04/26,162.953
2019/04/29,160.466
2019/04/30,160.781
2019/05/01,160.809
2019/05/02,157.729
2019/05/03,156.999
2019/05/06,155.902
2019/05/07,158.476
2019/05/08,159.419
2019/05/09,161.455
2019/05/10,160.538
2019/05/13,160.671
2019/05/14,164.179
2019/05/15,164.409
2019/05/16,165.318
2019/05/17,165.695
2019/05/20,165.945
2019/05/21,166.123
2019/05/22,166.505
2019/05/23,166.693
2019/05/24,167.694
2019/05/28,173.038
2019/05/29,177.187
2019/05/30,176.094
2019/05/31,179.829
2019/06/03,184.213
2019/06/04,184.097
2019/06/05,183.364
2019/06/06,180.654
2019/06/07,177.913
2019/06/10,170.525
2019/06/11,168.244
2019/06/12,169.208
2019/06/13,170.469
2019/06/14,173.763
2019/06/17,175.265
2019/06/18,174.419
2019/06/19,172.397
2019/06/20,169.469
2019/06/21,169.196
2019/06/24,168.675
2019/06/25,172.493
2019/06/26,172.078
2019/06/27,172.191
2019/06/28,170.566
2019/07/01,167.156
2019/07/02,165.32
2019/07/03,165.765
2019/07/05,161.07
2019/07/08,159.873
2019/07/09,162.183
2019/07/10,163.397
2019/07/11,161.396
2019/07/12,161.186
2019/07/15,162.175
2019/07/16,162.698
2019/07/17,164.366
2019/07/18,166.169
2019/07/19,166.067
2019/07/22,165.805
2019/07/23,165.186
2019/07/24,164.944
2019/07/25,164.792
2019/07/26,163.87
2019/07/29,161.931
2019/07/30,163.356
2019/07/31,163.893
2019/08/01,162.912
2019/08/02,171.423
2019/08/05,181.413
2019/08/06,185.441
2019/08/07,184.02
2019/08/08,180.308
2019/08/09,180.441
2019/08/12,180.119
2019/08/13,180.232
2019/08/14,177.268
2019/08/15,180.108
2019/08/16,177.789
2019/08/19,174.486
2019/08/20,170.798
2019/08/21,169.228
2019/08/22,168.96
2019/08/23,164.939
2019/08/26,169.272
2019/08/27,166.315
2019/08/28,167.294
2019/08/29,167.019
2019/08/30,167.542
2019/09/03,169.163
2019/09/04,168.79
2019/09/05,167.955
2019/09/06,166.909
2019/09/09,167.726
2019/09/10,166.77
2019/09/11,166.489
2019/09/12,166.074
2019/09/13,163.671
2019/09/16,161.621
2019/09/17,161.912
2019/09/18,158.958
2019/09/19,159.707
2019/09/20,157.594
2019/09/23,156.871
2019/09/24,156.465
2019/09/25,157.123
2019/09/26,157.705
2019/09/27,157.257
2019/09/30,156.45
2019/10/01,154.445
2019/10/02,157.502
2019/10/03,157.978
2019/10/04,158.307
2019/10/07,156.691
2019/10/08,156.916
2019/10/09,159.353
2019/10/10,158.923
2019/10/11,157.997
2019/10/15,154.848
2019/10/16,153.973
2019/10/17,153.193
2019/10/18,152.726
2019/10/21,152.529
2019/10/22,152.753
2019/10/23,153.604
2019/10/24,153.625
2019/10/25,154.234
2019/10/28,154.468
2019/10/29,150.673
2019/10/30,149.39
2019/10/31,148.227
2019/11/01,146.998
2019/11/04,146.278
2019/11/05,145.443
2019/11/06,145.417
2019/11/07,143.393
2019/11/08,143.439
2019/11/12,143.457
2019/11/13,144.596
2019/11/14,145.374
2019/11/15,145.685
2019/11/18,145.71
2019/11/19,146.603
2019/11/20,148.683
2019/11/21,149.132
2019/11/22,149.029
2019/11/25,146.547
2019/11/26,144.715
2019/11/27,142.125
2019/11/29,137.932
2019/12/02,137.582
2019/12/03,136.695
2019/12/04,138.112
2019/12/05,137.72
2019/12/06,137.768
2019/12/09,138.252
2019/12/10,137.535
2019/12/11,137.698
2019/12/12,136.827
2019/12/13,134.277
2019/12/16,134.301
2019/12/17,132.614
2019/12/18,132.199
2019/12/19,132.584
2019/12/20,132.511
2019/12/23,131.709
2019/12/24,131.792
2019/12/26,133.14
2019/12/27,130.373
2019/12/30,129.429
2019/12/31,127.645
2020/01/02,126.418
2020/01/03,125.938
2020/01/06,126.082
2020/01/07,127.018
2020/01/08,127.246
2020/01/09,126.559
2020/01/10,126.044
2020/01/13,127.186
2020/01/14,126.333
2020/01/15,123.995
2020/01/16,123.172
2020/01/17,122.603
2020/01/21,123
2020/01/22,122.885
2020/01/23,124.172
2020/01/24,124.512
2020/01/27,124.21
2020/01/28,126.721
2020/01/29,127.088
2020/01/30,130.567
2020/01/31,130.394
2020/02/03,131.262
2020/02/04,131.075
2020/02/05,131.775
2020/02/06,131.587
2020/02/07,131.054
2020/02/10,131.721
2020/02/11,131.239
2020/02/12,130.411
2020/02/13,128.941
2020/02/14,129.832
2020/02/18,127.809
2020/02/19,127.258
2020/02/20,126.324
2020/02/21,126.176
2020/02/24,128.219
2020/02/25,126.366
2020/02/26,127.532
2020/02/27,128.509
2020/02/28,138.699
2020/03/02,147.771
2020/03/03,145.3
2020/03/04,151.901
2020/03/05,146.486
2020/03/06,149.639
2020/03/09,172.163
2020/03/10,191.744
2020/03/11,191.608
2020/03/12,233.249
2020/03/13,252.399
2020/03/16,277.259
2020/03/17,296.796
